wave,group_name,question,frequency,estimate,group_category,mid_date
Week41,Gay or lesbian,"Frequency of feeling nervous, anxious, or on edge",Not at all,1680478,sexual_orientation,1/4/2022
Week41,Gay or lesbian,"Frequency of feeling nervous, anxious, or on edge",Several days,2170032,sexual_orientation,1/4/2022
Week41,Gay or lesbian,"Frequency of feeling nervous, anxious, or on edge",More than half the days,1226983,sexual_orientation,1/4/2022
Week41,Gay or lesbian,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,1829671,sexual_orientation,1/4/2022
Week41,Gay or lesbian,"Frequency of feeling nervous, anxious, or on edge",Did not report,794500,sexual_orientation,1/4/2022
Week41,Gay or lesbian,Frequency of not being able to stop or control worrying,Not at all,2207202,sexual_orientation,1/4/2022
Week41,Gay or lesbian,Frequency of not being able to stop or control worrying,Several days,2321154,sexual_orientation,1/4/2022
Week41,Gay or lesbian,Frequency of not being able to stop or control worrying,More than half the days,992088,sexual_orientation,1/4/2022
Week41,Gay or lesbian,Frequency of not being able to stop or control worrying,Nearly every day,1386162,sexual_orientation,1/4/2022
Week41,Gay or lesbian,Frequency of not being able to stop or control worrying,Did not report,795057,sexual_orientation,1/4/2022
Week41,Straight,"Frequency of feeling nervous, anxious, or on edge",Not at all,83783795,sexual_orientation,1/4/2022
Week41,Straight,"Frequency of feeling nervous, anxious, or on edge",Several days,62182918,sexual_orientation,1/4/2022
Week41,Straight,"Frequency of feeling nervous, anxious, or on edge",More than half the days,19157032,sexual_orientation,1/4/2022
Week41,Straight,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,26169261,sexual_orientation,1/4/2022
Week41,Straight,"Frequency of feeling nervous, anxious, or on edge",Did not report,24917918,sexual_orientation,1/4/2022
Week41,Straight,Frequency of not being able to stop or control worrying,Not at all,97756351,sexual_orientation,1/4/2022
Week41,Straight,Frequency of not being able to stop or control worrying,Several days,55599434,sexual_orientation,1/4/2022
Week41,Straight,Frequency of not being able to stop or control worrying,More than half the days,16917383,sexual_orientation,1/4/2022
Week41,Straight,Frequency of not being able to stop or control worrying,Nearly every day,20851913,sexual_orientation,1/4/2022
Week41,Straight,Frequency of not being able to stop or control worrying,Did not report,25085842,sexual_orientation,1/4/2022
Week41,Bisexual,"Frequency of feeling nervous, anxious, or on edge",Not at all,1687339,sexual_orientation,1/4/2022
Week41,Bisexual,"Frequency of feeling nervous, anxious, or on edge",Several days,3139814,sexual_orientation,1/4/2022
Week41,Bisexual,"Frequency of feeling nervous, anxious, or on edge",More than half the days,2062228,sexual_orientation,1/4/2022
Week41,Bisexual,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,3025835,sexual_orientation,1/4/2022
Week41,Bisexual,"Frequency of feeling nervous, anxious, or on edge",Did not report,1230998,sexual_orientation,1/4/2022
Week41,Bisexual,Frequency of not being able to stop or control worrying,Not at all,2709264,sexual_orientation,1/4/2022
Week41,Bisexual,Frequency of not being able to stop or control worrying,Several days,3022916,sexual_orientation,1/4/2022
Week41,Bisexual,Frequency of not being able to stop or control worrying,More than half the days,1576190,sexual_orientation,1/4/2022
Week41,Bisexual,Frequency of not being able to stop or control worrying,Nearly every day,2601386,sexual_orientation,1/4/2022
Week41,Bisexual,Frequency of not being able to stop or control worrying,Did not report,1236457,sexual_orientation,1/4/2022
Week41,Something else,"Frequency of feeling nervous, anxious, or on edge",Not at all,884769,sexual_orientation,1/4/2022
Week41,Something else,"Frequency of feeling nervous, anxious, or on edge",Several days,1040876,sexual_orientation,1/4/2022
Week41,Something else,"Frequency of feeling nervous, anxious, or on edge",More than half the days,792024,sexual_orientation,1/4/2022
Week41,Something else,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,1450947,sexual_orientation,1/4/2022
Week41,Something else,"Frequency of feeling nervous, anxious, or on edge",Did not report,721803,sexual_orientation,1/4/2022
Week41,Something else,Frequency of not being able to stop or control worrying,Not at all,1166846,sexual_orientation,1/4/2022
Week41,Something else,Frequency of not being able to stop or control worrying,Several days,1034704,sexual_orientation,1/4/2022
Week41,Something else,Frequency of not being able to stop or control worrying,More than half the days,849338,sexual_orientation,1/4/2022
Week41,Something else,Frequency of not being able to stop or control worrying,Nearly every day,1038035,sexual_orientation,1/4/2022
Week41,Something else,Frequency of not being able to stop or control worrying,Did not report,801496,sexual_orientation,1/4/2022
Week41,I don’t know,"Frequency of feeling nervous, anxious, or on edge",Not at all,1377951,sexual_orientation,1/4/2022
Week41,I don’t know,"Frequency of feeling nervous, anxious, or on edge",Several days,896751,sexual_orientation,1/4/2022
Week41,I don’t know,"Frequency of feeling nervous, anxious, or on edge",More than half the days,648367,sexual_orientation,1/4/2022
Week41,I don’t know,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,979195,sexual_orientation,1/4/2022
Week41,I don’t know,"Frequency of feeling nervous, anxious, or on edge",Did not report,985419,sexual_orientation,1/4/2022
Week41,I don’t know,Frequency of not being able to stop or control worrying,Not at all,1550754,sexual_orientation,1/4/2022
Week41,I don’t know,Frequency of not being able to stop or control worrying,Several days,999072,sexual_orientation,1/4/2022
Week41,I don’t know,Frequency of not being able to stop or control worrying,More than half the days,517632,sexual_orientation,1/4/2022
Week41,I don’t know,Frequency of not being able to stop or control worrying,Nearly every day,786926,sexual_orientation,1/4/2022
Week41,I don’t know,Frequency of not being able to stop or control worrying,Did not report,1033299,sexual_orientation,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,1697897,sexual_orientation,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,835701,sexual_orientation,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,237529,sexual_orientation,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,313377,sexual_orientation,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,2344040,sexual_orientation,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,Not at all,1814347,sexual_orientation,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,Several days,793972,sexual_orientation,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,More than half the days,166213,sexual_orientation,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,284895,sexual_orientation,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,Did not report,2369119,sexual_orientation,1/4/2022
Week41,Yes,"Frequency of feeling nervous, anxious, or on edge",Not at all,3781082,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Yes,"Frequency of feeling nervous, anxious, or on edge",Several days,5616977,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Yes,"Frequency of feeling nervous, anxious, or on edge",More than half the days,3398181,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Yes,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,5182012,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Yes,"Frequency of feeling nervous, anxious, or on edge",Did not report,2163264,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Yes,Frequency of not being able to stop or control worrying,Not at all,5456468,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Yes,Frequency of not being able to stop or control worrying,Several days,5554566,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Yes,Frequency of not being able to stop or control worrying,More than half the days,2690801,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Yes,Frequency of not being able to stop or control worrying,Nearly every day,4274628,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Yes,Frequency of not being able to stop or control worrying,Did not report,2165055,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,No,"Frequency of feeling nervous, anxious, or on edge",Not at all,82349952,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,No,"Frequency of feeling nervous, anxious, or on edge",Several days,61407976,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,No,"Frequency of feeling nervous, anxious, or on edge",More than half the days,18893637,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,No,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,25823265,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,No,"Frequency of feeling nervous, anxious, or on edge",Did not report,24282397,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,No,Frequency of not being able to stop or control worrying,Not at all,96145348,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,No,Frequency of not being able to stop or control worrying,Several days,54937428,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,No,Frequency of not being able to stop or control worrying,More than half the days,16672140,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,No,Frequency of not being able to stop or control worrying,Nearly every day,20567182,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,No,Frequency of not being able to stop or control worrying,Did not report,24435129,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Other,"Frequency of feeling nervous, anxious, or on edge",Not at all,2534017,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Other,"Frequency of feeling nervous, anxious, or on edge",Several days,1999570,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Other,"Frequency of feeling nervous, anxious, or on edge",More than half the days,1511858,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Other,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,2283201,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Other,"Frequency of feeling nervous, anxious, or on edge",Did not report,1790495,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Other,Frequency of not being able to stop or control worrying,Not at all,2926061,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Other,Frequency of not being able to stop or control worrying,Several days,2160024,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Other,Frequency of not being able to stop or control worrying,More than half the days,1415529,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Other,Frequency of not being able to stop or control worrying,Nearly every day,1704146,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Other,Frequency of not being able to stop or control worrying,Did not report,1913380,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",Not at all,2447179,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",Several days,1241569,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",More than half the days,320488,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",Nearly every day,479807,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Did not report,"Frequency of feeling nervous, anxious, or on edge",Did not report,2758521,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,Not at all,2676888,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,Several days,1119233,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,More than half the days,240373,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,Nearly every day,403362,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Did not report,Frequency of not being able to stop or control worrying,Did not report,2807707,lesbian_gay_bisexual_and_transgender,1/4/2022
Week41,Hispanic or Latino (may be of any race),"Frequency of feeling nervous, anxious, or on edge",Not at all,13567177,hispanic_origin_and_race,1/4/2022
Week41,Hispanic or Latino (may be of any race),"Frequency of feeling nervous, anxious, or on edge",Several days,11823195,hispanic_origin_and_race,1/4/2022
Week41,Hispanic or Latino (may be of any race),"Frequency of feeling nervous, anxious, or on edge",More than half the days,3876566,hispanic_origin_and_race,1/4/2022
Week41,Hispanic or Latino (may be of any race),"Frequency of feeling nervous, anxious, or on edge",Nearly every day,5938243,hispanic_origin_and_race,1/4/2022
Week41,Hispanic or Latino (may be of any race),"Frequency of feeling nervous, anxious, or on edge",Did not report,8159441,hispanic_origin_and_race,1/4/2022
Week41,Hispanic or Latino (may be of any race),Frequency of not being able to stop or control worrying,Not at all,15318368,hispanic_origin_and_race,1/4/2022
Week41,Hispanic or Latino (may be of any race),Frequency of not being able to stop or control worrying,Several days,11213015,hispanic_origin_and_race,1/4/2022
Week41,Hispanic or Latino (may be of any race),Frequency of not being able to stop or control worrying,More than half the days,3670984,hispanic_origin_and_race,1/4/2022
Week41,Hispanic or Latino (may be of any race),Frequency of not being able to stop or control worrying,Nearly every day,5008487,hispanic_origin_and_race,1/4/2022
Week41,Hispanic or Latino (may be of any race),Frequency of not being able to stop or control worrying,Did not report,8153768,hispanic_origin_and_race,1/4/2022
Week41,"White alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Not at all,58514757,hispanic_origin_and_race,1/4/2022
Week41,"White alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Several days,44786671,hispanic_origin_and_race,1/4/2022
Week41,"White alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",More than half the days,15319865,hispanic_origin_and_race,1/4/2022
Week41,"White alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Nearly every day,21922678,hispanic_origin_and_race,1/4/2022
Week41,"White alone, not Hispanic","Frequency of feeling nervous, anxious, or on edge",Did not report,15131410,hispanic_origin_and_race,1/4/2022
